c,X,Y,Z
0.9,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.0,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.1,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.2,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.3,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.4,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.5,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.6,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.7,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.8,0.2500000000000002,0.24999999999999986,0.49999999999999994
1.9,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.0,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.1,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.2,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.3,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.4,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.5,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.6,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.7,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.8,0.2500000000000002,0.24999999999999986,0.49999999999999994
2.9,0.2500000000000002,0.24999999999999986,0.49999999999999994
3.0,0.2500000000000002,0.24999999999999986,0.49999999999999994
3.1,0.2500000000000002,0.24999999999999986,0.49999999999999994
3.2,0.2500000000000002,0.24999999999999986,0.49999999999999994
3.3,0.2500000000000002,0.24999999999999986,0.49999999999999994
3.4,0.2500000000000002,0.24999999999999986,0.49999999999999994
3.5,0.2500000000000002,0.24999999999999986,0.49999999999999994
3.6,0.2500000000000002,0.24999999999999986,0.49999999999999994
3.7,0.2500000000000002,0.24999999999999986,0.49999999999999994
3.8,0.2500000000000002,0.24999999999999986,0.49999999999999994
3.9,0.2500000000000002,0.24999999999999986,0.49999999999999994
4.0,0.2500000000000002,0.24999999999999986,0.49999999999999994
4.1,0.2500000000000002,0.24999999999999986,0.49999999999999994
4.2,0.2500000000000002,0.24999999999999986,0.49999999999999994
4.3,0.2500000000000002,0.24999999999999986,0.49999999999999994
4.4,0.2500000000000002,0.24999999999999986,0.49999999999999994
4.5,0.2500000000000002,0.24999999999999986,0.49999999999999994
4.6,0.2500000000000002,0.24999999999999986,0.49999999999999994
4.7,0.2500000000000002,0.24999999999999986,0.49999999999999994
4.8,0.2500000000000002,0.24999999999999986,0.49999999999999994
4.9,0.2500000000000002,0.24999999999999986,0.49999999999999994
5.0,0.2500000000000002,0.24999999999999986,0.49999999999999994
5.1,0.2500000000000002,0.24999999999999986,0.49999999999999994
5.2,0.2500000000000002,0.24999999999999986,0.49999999999999994
5.3,0.2500000000000002,0.24999999999999986,0.49999999999999994
5.4,0.2500000000000002,0.24999999999999986,0.49999999999999994
5.5,0.2500000000000002,0.24999999999999986,0.49999999999999994
5.6,0.2500000000000002,0.24999999999999986,0.49999999999999994
5.7,0.2500000000000002,0.24999999999999986,0.49999999999999994
5.8,0.2500000000000002,0.24999999999999986,0.49999999999999994
5.9,0.2500000000000002,0.24999999999999986,0.49999999999999994
6.0,0.2500000000000002,0.24999999999999986,0.49999999999999994
6.1,0.2500000000000002,0.24999999999999986,0.49999999999999994
6.2,0.2500000000000002,0.24999999999999986,0.49999999999999994
6.3,0.2500000000000002,0.24999999999999986,0.49999999999999994
6.4,0.2500000000000002,0.24999999999999986,0.49999999999999994
6.5,0.2500000000000002,0.24999999999999986,0.49999999999999994
6.6,0.2500000000000002,0.24999999999999986,0.49999999999999994
6.7,0.2500000000000002,0.24999999999999986,0.49999999999999994
6.8,0.2500000000000002,0.24999999999999986,0.49999999999999994
6.9,0.2500000000000002,0.24999999999999986,0.49999999999999994
7.0,0.2500000000000002,0.24999999999999986,0.49999999999999994
7.1,0.2500000000000002,0.24999999999999986,0.49999999999999994
7.2,0.2500000000000002,0.24999999999999986,0.49999999999999994
7.3,0.2500000000000002,0.24999999999999986,0.49999999999999994
