fines,X,Y_{cj},Y_{rj},T,U,V,W
0.0,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
0.1,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
0.2,1.0028982412504742e-15,0.4999999999999935,0.5000000000000044,3.1514862361054065e-19,3.857300927886439e-16,6.815448115403123e-22,7.45744846058045e-16
0.3,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,1.8368058782287952e-31,1.3605978726402106e-15,1.9642428075103373e-33,1.1244527470342657e-15
0.4,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,1.8368058782287952e-31,1.3605978726402106e-15,1.9642428075103373e-33,1.1244527470342657e-15
0.5,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
0.6,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
0.7,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
0.8,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
0.9,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.0,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.1,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.2,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.3,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.4,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.5,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.6,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.7,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.8,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
1.9,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
2.0,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
2.1,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
2.2,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
2.3,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
2.4,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
2.5,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
2.6,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
2.7,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
2.8,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
