B,X,Y_{cj},Y_{rj},Z,T,U,V,W
0.0,0.007155191259515887,0.008627459970760561,0.007821537901271571,0.006579599148812632,0.0008220405108770943,0.48416794189385065,0.0006582874210608959,0.4841679418938507
0.05,0.007155191259515887,0.008627459970760561,0.007821537901271571,0.006579599148812632,0.0008220405108770943,0.48416794189385065,0.0006582874210608959,0.4841679418938507
0.1,0.007155191259515887,0.008627459970760561,0.007821537901271571,0.006579599148812632,0.0008220405108770943,0.48416794189385065,0.0006582874210608959,0.4841679418938507
0.15,0.007155191259515887,0.008627459970760561,0.007821537901271571,0.006579599148812632,0.0008220405108770943,0.48416794189385065,0.0006582874210608959,0.4841679418938507
0.2,0.007155191259515887,0.008627459970760561,0.007821537901271571,0.006579599148812632,0.0008220405108770943,0.48416794189385065,0.0006582874210608959,0.4841679418938507
0.25,0.007155191259515887,0.008627459970760561,0.007821537901271571,0.006579599148812632,0.0008220405108770943,0.48416794189385065,0.0006582874210608959,0.4841679418938507
0.3,0.007155191259515887,0.008627459970760561,0.007821537901271571,0.006579599148812632,0.0008220405108770943,0.48416794189385065,0.0006582874210608959,0.4841679418938507
0.35,0.007155191259515887,0.008627459970760561,0.007821537901271571,0.006579599148812632,0.0008220405108770943,0.48416794189385065,0.0006582874210608959,0.4841679418938507
0.4,0.007155191259515887,0.008627459970760561,0.007821537901271571,0.006579599148812632,0.0008220405108770943,0.48416794189385065,0.0006582874210608959,0.4841679418938507
0.45,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.5,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.55,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.6,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.65,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.7,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.75,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.8,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.85,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.9,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
0.95,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.0,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.05,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.1,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.15,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.2,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.25,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.3,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.35,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.4,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.45,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.5,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.55,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.6,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.65,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.7,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.75,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.8,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.85,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.9,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
1.95,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
2.0,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
2.05,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
2.1,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
2.15,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
2.2,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
2.25,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
2.3,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
2.35,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
2.4,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
2.45,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
2.5,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
