c,X,Y_{cj},Y_{rj},T,U,V,W
0.9,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
1.0,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
1.1,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
1.2,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
1.3,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
1.4,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
1.5,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
1.6,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
1.7,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
1.8,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
1.9,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
2.0,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
2.1,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
2.2,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
2.3,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
2.4,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
2.5,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
2.6,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
2.7,4.885914508656026e-16,0.5000000000000339,0.4999999999999642,7.239460409983566e-19,6.685988275002984e-16,2.489216608968157e-21,8.48606204134994e-16
2.8,4.885914508656026e-16,0.5000000000000339,0.4999999999999642,7.239460409983566e-19,6.685988275002984e-16,2.489216608968157e-21,8.48606204134994e-16
2.9,4.885914508656026e-16,0.5000000000000339,0.4999999999999642,7.239460409983566e-19,6.685988275002984e-16,2.489216608968157e-21,8.48606204134994e-16
3.0,4.885914508656026e-16,0.5000000000000339,0.4999999999999642,7.239460409983566e-19,6.685988275002984e-16,2.489216608968157e-21,8.48606204134994e-16
3.1,4.885914508656026e-16,0.5000000000000339,0.4999999999999642,7.239460409983566e-19,6.685988275002984e-16,2.489216608968157e-21,8.48606204134994e-16
3.2,4.885914508656026e-16,0.5000000000000339,0.4999999999999642,7.239460409983566e-19,6.685988275002984e-16,2.489216608968157e-21,8.48606204134994e-16
3.3,4.885914508656026e-16,0.5000000000000339,0.4999999999999642,7.239460409983566e-19,6.685988275002984e-16,2.489216608968157e-21,8.48606204134994e-16
3.4,4.885914508656026e-16,0.5000000000000339,0.4999999999999642,7.239460409983566e-19,6.685988275002984e-16,2.489216608968157e-21,8.48606204134994e-16
3.5,4.885914508656026e-16,0.5000000000000339,0.4999999999999642,7.239460409983566e-19,6.685988275002984e-16,2.489216608968157e-21,8.48606204134994e-16
3.6,4.885914508656026e-16,0.5000000000000339,0.4999999999999642,7.239460409983566e-19,6.685988275002984e-16,2.489216608968157e-21,8.48606204134994e-16
