psi,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
0.0,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.05,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.1,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.15,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.2,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.25,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.3,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.35,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.4,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.45,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.5,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.55,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.6,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.65,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.7,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.75,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.8,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.85,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.9,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
0.95,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
1.0,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
1.05,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
1.1,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
1.15,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
1.2,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
1.25,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
1.3,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
1.35,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
1.4,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
1.45,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
1.5,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
1.55,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
1.6,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
1.65,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
